"BehaviorSpace results (NetLogo 6.2.0)"
"temp.nlogo"
"gender-bias"
"12/14/2021 18:31:00:917 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","max-influencers","bias-type","total-users","max-connections","[step]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]"
"7","15","gender-bias","500","25","0","0","0"
"2","15","gender-bias","500","25","0","0","0"
"7","15","gender-bias","500","25","1","0.07228915662650602","0.21686746987951808"
"7","15","gender-bias","500","25","2","0.048","0.144"
"4","15","gender-bias","500","25","0","0","0"
"8","15","gender-bias","500","25","0","0","0"
"1","15","gender-bias","500","25","0","0","0"
"2","15","gender-bias","500","25","1","0.17567567567567569","0.3918918918918919"
"5","15","gender-bias","500","25","0","0","0"
"6","15","gender-bias","500","25","0","0","0"
"2","15","gender-bias","500","25","2","0.1794871794871795","0.3269230769230769"
"6","15","gender-bias","500","25","1","0.175","0.425"
"4","15","gender-bias","500","25","1","0","0"
"8","15","gender-bias","500","25","1","0.15476190476190477","0.2619047619047619"
"1","15","gender-bias","500","25","1","0","0"
"8","15","gender-bias","500","25","2","0.17045454545454544","0.30113636363636365"
"5","15","gender-bias","500","25","1","0.17346938775510204","0.3877551020408163"
"2","15","gender-bias","500","25","3","0.17180616740088106","0.32158590308370044"
"5","15","gender-bias","500","25","2","0.17209302325581396","0.34418604651162793"
"2","15","gender-bias","500","25","4","0.17037037037037037","0.337037037037037"
"2","15","gender-bias","500","25","5","0.18620689655172415","0.35517241379310344"
"8","15","gender-bias","500","25","3","0.17708333333333334","0.3020833333333333"
"2","15","gender-bias","500","25","6","0.2","0.36507936507936506"
"2","15","gender-bias","500","25","7","0.20180722891566266","0.37650602409638556"
"8","15","gender-bias","500","25","4","0.1807909604519774","0.307909604519774"
"2","15","gender-bias","500","25","8","0.19476744186046513","0.375"
"6","15","gender-bias","500","25","2","0.14678899082568808","0.3211009174311927"
"8","15","gender-bias","500","25","5","0.17357512953367876","0.2979274611398964"
"8","15","gender-bias","500","25","6","0.1717948717948718","0.2948717948717949"
"6","15","gender-bias","500","25","3","0.17045454545454544","0.32386363636363635"
"5","15","gender-bias","500","25","3","0.16776315789473684","0.33881578947368424"
"5","15","gender-bias","500","25","4","0.1671388101983003","0.34277620396600567"
"6","15","gender-bias","500","25","4","0.1721311475409836","0.3237704918032787"
"5","15","gender-bias","500","25","5","0.17989417989417988","0.34656084656084657"
"6","15","gender-bias","500","25","5","0.16943521594684385","0.31893687707641194"
"6","15","gender-bias","500","25","6","0.17027863777089783","0.3219814241486068"
"5","15","gender-bias","500","25","6","0.18639798488664988","0.3602015113350126"
"6","15","gender-bias","500","25","7","0.17365269461077845","0.3263473053892216"
"6","15","gender-bias","500","25","8","0.17052023121387283","0.32947976878612717"
"6","15","gender-bias","500","25","9","0.17002881844380405","0.3285302593659942"
"9","15","gender-bias","500","25","0","0","0"
"5","15","gender-bias","500","25","7","0.1864406779661017","0.36319612590799033"
"10","15","gender-bias","500","25","0","0","0"
"10","15","gender-bias","500","25","1","0.208955223880597","0.3880597014925373"
"5","15","gender-bias","500","25","8","0.18705035971223022","0.3645083932853717"
"5","15","gender-bias","500","25","9","0.18527315914489312","0.36104513064133015"
"10","15","gender-bias","500","25","2","0.15606936416184972","0.27167630057803466"
"10","15","gender-bias","500","25","3","0.1541501976284585","0.2727272727272727"
"10","15","gender-bias","500","25","4","0.16339869281045752","0.2973856209150327"
"10","15","gender-bias","500","25","5","0.1636904761904762","0.3125"
"9","15","gender-bias","500","25","1","0.23529411764705882","0.45588235294117646"
"10","15","gender-bias","500","25","6","0.1671388101983003","0.31728045325779036"
"10","15","gender-bias","500","25","7","0.164804469273743","0.31564245810055863"
"9","15","gender-bias","500","25","2","0.19285714285714287","0.37142857142857144"
"11","15","gender-bias","500","25","0","0","0"
"9","15","gender-bias","500","25","3","0.18932038834951456","0.34951456310679613"
"13","15","gender-bias","500","25","0","0","0"
"11","15","gender-bias","500","25","1","0.4","0.5428571428571428"
"9","15","gender-bias","500","25","4","0.17692307692307693","0.3384615384615385"
"9","15","gender-bias","500","25","5","0.1781818181818182","0.3418181818181818"
"13","15","gender-bias","500","25","1","0.06153846153846154","0.2153846153846154"
"9","15","gender-bias","500","25","6","0.17894736842105263","0.3508771929824561"
"13","15","gender-bias","500","25","2","0.0425531914893617","0.14893617021276595"
"9","15","gender-bias","500","25","7","0.17647058823529413","0.35294117647058826"
"12","15","gender-bias","500","25","0","0","0"
"12","15","gender-bias","500","25","1","0.07216494845360824","0.1958762886597938"
"12","15","gender-bias","500","25","2","0.04487179487179487","0.12179487179487179"
"11","15","gender-bias","500","25","2","0.2716049382716049","0.49382716049382713"
"11","15","gender-bias","500","25","3","0.2379421221864952","0.5016077170418006"
"11","15","gender-bias","500","25","4","0.24681933842239187","0.5216284987277354"
"11","15","gender-bias","500","25","5","0.25517241379310346","0.5287356321839081"
"16","15","gender-bias","500","25","0","0","0"
"17","15","gender-bias","500","25","0","0","0"
"11","15","gender-bias","500","25","6","0.2544642857142857","0.5290178571428571"
"11","15","gender-bias","500","25","7","0.25333333333333335","0.5266666666666666"
"17","15","gender-bias","500","25","1","0.3508771929824561","0.7192982456140351"
"16","15","gender-bias","500","25","1","0.1724137931034483","0.3620689655172414"
"15","15","gender-bias","500","25","0","0","0"
"16","15","gender-bias","500","25","2","0.17424242424242425","0.3106060606060606"
"17","15","gender-bias","500","25","2","0.3588516746411483","0.7464114832535885"
"16","15","gender-bias","500","25","3","0.18269230769230768","0.3269230769230769"
"15","15","gender-bias","500","25","1","0.49206349206349204","0.8095238095238095"
"16","15","gender-bias","500","25","4","0.16236162361623616","0.3062730627306273"
"14","15","gender-bias","500","25","0","0","0"
"17","15","gender-bias","500","25","3","0.42","0.805"
"16","15","gender-bias","500","25","5","0.17421602787456447","0.3205574912891986"
"17","15","gender-bias","500","25","4","0.42217484008528783","0.8081023454157783"
"15","15","gender-bias","500","25","2","0.3372093023255814","0.7635658914728682"
"16","15","gender-bias","500","25","6","0.18211920529801323","0.33112582781456956"
"14","15","gender-bias","500","25","1","0.47126436781609193","0.8275862068965517"
"16","15","gender-bias","500","25","7","0.18387096774193548","0.32903225806451614"
"16","15","gender-bias","500","25","8","0.18269230769230768","0.3269230769230769"
"17","15","gender-bias","500","25","5","0.4246861924686193","0.8117154811715481"
"14","15","gender-bias","500","25","2","0.41975308641975306","0.8055555555555556"
"15","15","gender-bias","500","25","3","0.35391923990498814","0.7957244655581948"
"14","15","gender-bias","500","25","3","0.41774891774891776","0.8181818181818182"
"14","15","gender-bias","500","25","4","0.4158004158004158","0.8128898128898129"
"14","15","gender-bias","500","25","5","0.4170124481327801","0.8132780082987552"
"18","15","gender-bias","500","25","0","0","0"
"3","15","gender-bias","500","25","0","0","0"
"18","15","gender-bias","500","25","1","0.1836734693877551","0.3469387755102041"
"15","15","gender-bias","500","25","4","0.35560344827586204","0.8017241379310345"
"18","15","gender-bias","500","25","2","0.1574074074074074","0.25925925925925924"
"15","15","gender-bias","500","25","5","0.3574468085106383","0.8021276595744681"
"15","15","gender-bias","500","25","6","0.3580508474576271","0.8008474576271186"
"18","15","gender-bias","500","25","3","0.1951219512195122","0.3231707317073171"
"18","15","gender-bias","500","25","4","0.16872427983539096","0.3333333333333333"
"18","15","gender-bias","500","25","5","0.17582417582417584","0.32967032967032966"
"18","15","gender-bias","500","25","6","0.18243243243243243","0.34459459459459457"
"18","15","gender-bias","500","25","7","0.18238993710691823","0.3490566037735849"
"18","15","gender-bias","500","25","8","0.18153846153846154","0.35384615384615387"
"3","15","gender-bias","500","25","1","0.35","0.65"
"18","15","gender-bias","500","25","9","0.18042813455657492","0.3547400611620795"
"3","15","gender-bias","500","25","2","0.2975206611570248","0.5702479338842975"
"20","15","gender-bias","500","25","0","0","0"
"22","15","gender-bias","500","25","0","0","0"
"22","15","gender-bias","500","25","1","0","0"
"21","15","gender-bias","500","25","0","0","0"
"20","15","gender-bias","500","25","1","0","0"
"21","15","gender-bias","500","25","1","0.2033898305084746","0.3644067796610169"
"21","15","gender-bias","500","25","2","0.13953488372093023","0.29069767441860467"
"19","15","gender-bias","500","25","0","0","0"
"3","15","gender-bias","500","25","3","0.2942708333333333","0.5963541666666666"
"24","15","gender-bias","500","25","0","0","0"
"23","15","gender-bias","500","25","0","0","0"
"21","15","gender-bias","500","25","3","0.13680781758957655","0.3127035830618892"
"19","15","gender-bias","500","25","1","0.2894736842105263","0.7105263157894737"
"21","15","gender-bias","500","25","4","0.13719512195121952","0.31402439024390244"
"24","15","gender-bias","500","25","1","0.08235294117647059","0.18823529411764706"
"21","15","gender-bias","500","25","5","0.13353115727002968","0.3086053412462908"
"24","15","gender-bias","500","25","2","0.05426356589147287","0.12403100775193798"
"23","15","gender-bias","500","25","1","0.18085106382978725","0.3723404255319149"
"19","15","gender-bias","500","25","2","0.3487394957983193","0.7605042016806722"
"23","15","gender-bias","500","25","2","0.135","0.27"
"26","15","gender-bias","500","25","0","0","0"
"23","15","gender-bias","500","25","3","0.14516129032258066","0.2903225806451613"
"19","15","gender-bias","500","25","3","0.4013921113689095","0.7749419953596288"
"26","15","gender-bias","500","25","1","0","0"
"23","15","gender-bias","500","25","4","0.15358361774744028","0.31399317406143346"
"19","15","gender-bias","500","25","4","0.40380549682875266","0.7843551797040169"
"23","15","gender-bias","500","25","5","0.1557632398753894","0.32398753894080995"
"19","15","gender-bias","500","25","5","0.40124740124740127","0.7879417879417879"
"23","15","gender-bias","500","25","6","0.1536144578313253","0.3313253012048193"
"23","15","gender-bias","500","25","7","0.15615615615615616","0.3333333333333333"
"25","15","gender-bias","500","25","0","0","0"
"23","15","gender-bias","500","25","8","0.15773809523809523","0.3392857142857143"
"23","15","gender-bias","500","25","9","0.15634218289085547","0.336283185840708"
"25","15","gender-bias","500","25","1","0.2391304347826087","0.6521739130434783"
"25","15","gender-bias","500","25","2","0.2517985611510791","0.6258992805755396"
"27","15","gender-bias","500","25","0","0","0"
"25","15","gender-bias","500","25","3","0.2785714285714286","0.5571428571428572"
"27","15","gender-bias","500","25","1","0.43137254901960786","0.6862745098039216"
"25","15","gender-bias","500","25","4","0.27450980392156865","0.5612745098039216"
"27","15","gender-bias","500","25","2","0.2857142857142857","0.5561224489795918"
"25","15","gender-bias","500","25","5","0.2837528604118993","0.5697940503432495"
"25","15","gender-bias","500","25","6","0.2825112107623318","0.5695067264573991"
"25","15","gender-bias","500","25","7","0.28187919463087246","0.5704697986577181"
"29","15","gender-bias","500","25","0","0","0"
"29","15","gender-bias","500","25","1","0.375","0.7946428571428571"
