"BehaviorSpace results (NetLogo 6.2.0)"
"temp.nlogo"
"influencer-bias"
"12/14/2021 18:44:29:215 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","max-influencers","bias-type","total-users","max-connections","[step]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]"
"6","15","influencer-bias","500","25","0","0","0"
"5","15","influencer-bias","500","25","0","0","0"
"8","15","influencer-bias","500","25","0","0","0"
"7","15","influencer-bias","500","25","0","0","0"
"3","15","influencer-bias","500","25","0","0","0"
"6","15","influencer-bias","500","25","1","0.39622641509433965","0.39622641509433965"
"5","15","influencer-bias","500","25","1","0.696078431372549","0.696078431372549"
"7","15","influencer-bias","500","25","1","0.5432098765432098","0.5432098765432098"
"3","15","influencer-bias","500","25","1","0.5737704918032787","0.5737704918032787"
"7","15","influencer-bias","500","25","2","0.4315068493150685","0.5308219178082192"
"8","15","influencer-bias","500","25","1","0","0"
"3","15","influencer-bias","500","25","2","0.412","0.508"
"7","15","influencer-bias","500","25","3","0.45089285714285715","0.5669642857142857"
"6","15","influencer-bias","500","25","2","0.22527472527472528","0.27472527472527475"
"7","15","influencer-bias","500","25","4","0.46218487394957986","0.5798319327731093"
"3","15","influencer-bias","500","25","3","0.4400921658986175","0.5576036866359447"
"2","15","influencer-bias","500","25","0","0","0"
"7","15","influencer-bias","500","25","5","0.46234309623430964","0.5815899581589958"
"6","15","influencer-bias","500","25","3","0.22945205479452055","0.2773972602739726"
"3","15","influencer-bias","500","25","4","0.4573804573804574","0.58004158004158"
"3","15","influencer-bias","500","25","5","0.4575569358178054","0.5797101449275363"
"4","15","influencer-bias","500","25","0","0","0"
"6","15","influencer-bias","500","25","4","0.23770491803278687","0.28415300546448086"
"5","15","influencer-bias","500","25","2","0.6307692307692307","0.7666666666666667"
"6","15","influencer-bias","500","25","5","0.2525","0.3025"
"6","15","influencer-bias","500","25","6","0.25961538461538464","0.31009615384615385"
"5","15","influencer-bias","500","25","3","0.6321138211382114","0.7845528455284553"
"6","15","influencer-bias","500","25","7","0.25952380952380955","0.30952380952380953"
"5","15","influencer-bias","500","25","4","0.6328600405679513","0.7849898580121704"
"2","15","influencer-bias","500","25","1","0.4117647058823529","0.4117647058823529"
"6","15","influencer-bias","500","25","8","0.26128266033254155","0.31116389548693585"
"2","15","influencer-bias","500","25","2","0.2730496453900709","0.32269503546099293"
"4","15","influencer-bias","500","25","1","0.2692307692307692","0.2692307692307692"
"2","15","influencer-bias","500","25","3","0.29484029484029484","0.3488943488943489"
"2","15","influencer-bias","500","25","4","0.3008849557522124","0.3561946902654867"
"2","15","influencer-bias","500","25","5","0.30603448275862066","0.3642241379310345"
"9","15","influencer-bias","500","25","0","0","0"
"2","15","influencer-bias","500","25","6","0.3076923076923077","0.36538461538461536"
"1","15","influencer-bias","500","25","0","0","0"
"1","15","influencer-bias","500","25","1","0.3","0.3"
"9","15","influencer-bias","500","25","1","0.4444444444444444","0.4444444444444444"
"4","15","influencer-bias","500","25","2","0.08045977011494253","0.08045977011494253"
"1","15","influencer-bias","500","25","2","0.25301204819277107","0.2891566265060241"
"9","15","influencer-bias","500","25","2","0.3153409090909091","0.3693181818181818"
"11","15","influencer-bias","500","25","0","0","0"
"9","15","influencer-bias","500","25","3","0.296875","0.36160714285714285"
"11","15","influencer-bias","500","25","1","0.5510204081632653","0.5510204081632653"
"9","15","influencer-bias","500","25","4","0.30303030303030304","0.36796536796536794"
"9","15","influencer-bias","500","25","5","0.30472103004291845","0.37124463519313305"
"10","15","influencer-bias","500","25","0","0","0"
"11","15","influencer-bias","500","25","2","0.4880382775119617","0.5789473684210527"
"10","15","influencer-bias","500","25","1","0.3269230769230769","0.3269230769230769"
"10","15","influencer-bias","500","25","2","0.2857142857142857","0.32571428571428573"
"1","15","influencer-bias","500","25","3","0.24585635359116023","0.30662983425414364"
"11","15","influencer-bias","500","25","3","0.45852534562211983","0.5691244239631337"
"1","15","influencer-bias","500","25","4","0.24317617866004962","0.31017369727047145"
"10","15","influencer-bias","500","25","3","0.27124183006535946","0.35294117647058826"
"1","15","influencer-bias","500","25","5","0.24396135265700483","0.3140096618357488"
"11","15","influencer-bias","500","25","4","0.4716981132075472","0.5870020964360587"
"11","15","influencer-bias","500","25","5","0.4708333333333333","0.5875"
"10","15","influencer-bias","500","25","4","0.2918918918918919","0.3810810810810811"
"10","15","influencer-bias","500","25","5","0.3009950248756219","0.3855721393034826"
"10","15","influencer-bias","500","25","6","0.3022113022113022","0.3857493857493858"
"10","15","influencer-bias","500","25","7","0.30024213075060535","0.38256658595641646"
"13","15","influencer-bias","500","25","0","0","0"
"12","15","influencer-bias","500","25","0","0","0"
"13","15","influencer-bias","500","25","1","0.15873015873015872","0.15873015873015872"
"14","15","influencer-bias","500","25","0","0","0"
"12","15","influencer-bias","500","25","1","0","0"
"13","15","influencer-bias","500","25","2","0.09615384615384616","0.09615384615384616"
"14","15","influencer-bias","500","25","1","0","0"
"15","15","influencer-bias","500","25","0","0","0"
"15","15","influencer-bias","500","25","1","0.23214285714285715","0.23214285714285715"
"15","15","influencer-bias","500","25","2","0.08904109589041095","0.08904109589041095"
"16","15","influencer-bias","500","25","0","0","0"
"16","15","influencer-bias","500","25","1","0.22857142857142856","0.22857142857142856"
"18","15","influencer-bias","500","25","0","0","0"
"16","15","influencer-bias","500","25","2","0.07207207207207207","0.07207207207207207"
"18","15","influencer-bias","500","25","1","0.3783783783783784","0.3783783783783784"
"19","15","influencer-bias","500","25","0","0","0"
"18","15","influencer-bias","500","25","2","0.21897810218978103","0.27007299270072993"
"19","15","influencer-bias","500","25","1","0.5714285714285714","0.5714285714285714"
"18","15","influencer-bias","500","25","3","0.22897196261682243","0.3037383177570093"
"18","15","influencer-bias","500","25","4","0.22945205479452055","0.3150684931506849"
"22","15","influencer-bias","500","25","0","0","0"
"18","15","influencer-bias","500","25","5","0.24850299401197604","0.3413173652694611"
"22","15","influencer-bias","500","25","1","0.803921568627451","0.803921568627451"
"19","15","influencer-bias","500","25","2","0.4669260700389105","0.5252918287937743"
"18","15","influencer-bias","500","25","6","0.2659279778393352","0.3628808864265928"
"18","15","influencer-bias","500","25","7","0.2717678100263852","0.36675461741424803"
"18","15","influencer-bias","500","25","8","0.2713178294573643","0.3669250645994832"
"19","15","influencer-bias","500","25","3","0.473568281938326","0.5837004405286343"
"18","15","influencer-bias","500","25","9","0.2699228791773779","0.3676092544987147"
"19","15","influencer-bias","500","25","4","0.47638603696098564","0.5913757700205339"
"20","15","influencer-bias","500","25","0","0","0"
"19","15","influencer-bias","500","25","5","0.47443762781186094","0.591002044989775"
"22","15","influencer-bias","500","25","2","0.6230031948881789","0.7667731629392971"
"20","15","influencer-bias","500","25","1","0.16666666666666666","0.16666666666666666"
"21","15","influencer-bias","500","25","0","0","0"
"17","15","influencer-bias","500","25","0","0","0"
"20","15","influencer-bias","500","25","2","0.07913669064748201","0.07913669064748201"
"17","15","influencer-bias","500","25","1","0.6666666666666666","0.6666666666666666"
"21","15","influencer-bias","500","25","1","0","0"
"22","15","influencer-bias","500","25","3","0.638477801268499","0.8012684989429175"
"22","15","influencer-bias","500","25","4","0.6391752577319587","0.8020618556701031"
"24","15","influencer-bias","500","25","0","0","0"
"23","15","influencer-bias","500","25","0","0","0"
"24","15","influencer-bias","500","25","1","0","0"
"23","15","influencer-bias","500","25","1","0","0"
"25","15","influencer-bias","500","25","0","0","0"
"25","15","influencer-bias","500","25","1","0.7684210526315789","0.7684210526315789"
"17","15","influencer-bias","500","25","2","0.43612334801762115","0.5242290748898678"
"26","15","influencer-bias","500","25","0","0","0"
"25","15","influencer-bias","500","25","2","0.6464379947229552","0.7810026385224275"
"26","15","influencer-bias","500","25","1","0.8173076923076923","0.8173076923076923"
"17","15","influencer-bias","500","25","3","0.46099290780141844","0.5626477541371159"
"25","15","influencer-bias","500","25","3","0.650103519668737","0.8033126293995859"
"25","15","influencer-bias","500","25","4","0.648870636550308","0.8049281314168378"
"17","15","influencer-bias","500","25","4","0.47357293868921774","0.5813953488372093"
"28","15","influencer-bias","500","25","0","0","0"
"27","15","influencer-bias","500","25","0","0","0"
"28","15","influencer-bias","500","25","1","0.3218390804597701","0.3218390804597701"
"27","15","influencer-bias","500","25","1","0.5217391304347826","0.5217391304347826"
"28","15","influencer-bias","500","25","2","0.12444444444444444","0.12444444444444444"
"26","15","influencer-bias","500","25","2","0.6421568627450981","0.7769607843137255"
"27","15","influencer-bias","500","25","2","0.47417840375586856","0.5492957746478874"
"29","15","influencer-bias","500","25","0","0","0"
"26","15","influencer-bias","500","25","3","0.6247422680412371","0.777319587628866"
"26","15","influencer-bias","500","25","4","0.6255144032921811","0.7777777777777778"
"30","15","influencer-bias","500","25","0","0","0"
"29","15","influencer-bias","500","25","1","0.33766233766233766","0.33766233766233766"
"30","15","influencer-bias","500","25","1","0.36363636363636365","0.36363636363636365"
"27","15","influencer-bias","500","25","3","0.47139588100686497","0.5766590389016019"
"27","15","influencer-bias","500","25","4","0.48210526315789476","0.5978947368421053"
"29","15","influencer-bias","500","25","2","0.13","0.13"
"27","15","influencer-bias","500","25","5","0.4885654885654886","0.6029106029106029"
"17","15","influencer-bias","500","25","5","0.4758909853249476","0.5828092243186582"
"32","15","influencer-bias","500","25","0","0","0"
"31","15","influencer-bias","500","25","0","0","0"
"32","15","influencer-bias","500","25","1","0.8163265306122449","0.8163265306122449"
"31","15","influencer-bias","500","25","1","0.4935064935064935","0.4935064935064935"
"32","15","influencer-bias","500","25","2","0.6259842519685039","0.7755905511811023"
"31","15","influencer-bias","500","25","2","0.45396825396825397","0.5492063492063493"
"32","15","influencer-bias","500","25","3","0.6445916114790287","0.8167770419426048"
"17","15","influencer-bias","500","25","6","0.4769874476987448","0.5836820083682008"
"32","15","influencer-bias","500","25","4","0.6354166666666666","0.8083333333333333"
"32","15","influencer-bias","500","25","5","0.6340956340956341","0.8087318087318087"
"31","15","influencer-bias","500","25","3","0.4539614561027837","0.5717344753747323"
"31","15","influencer-bias","500","25","4","0.4573804573804574","0.5821205821205822"
"31","15","influencer-bias","500","25","5","0.45850622406639","0.58298755186722"
"30","15","influencer-bias","500","25","2","0.26591760299625467","0.31835205992509363"
"33","15","influencer-bias","500","25","0","0","0"
"30","15","influencer-bias","500","25","3","0.2879581151832461","0.34554973821989526"
"34","15","influencer-bias","500","25","0","0","0"
"33","15","influencer-bias","500","25","1","0.17543859649122806","0.17543859649122806"
"35","15","influencer-bias","500","25","0","0","0"
"34","15","influencer-bias","500","25","1","0.6363636363636364","0.6363636363636364"
"33","15","influencer-bias","500","25","2","0.07092198581560284","0.07092198581560284"
"35","15","influencer-bias","500","25","1","0.8444444444444444","0.8444444444444444"
"34","15","influencer-bias","500","25","2","0.4444444444444444","0.5601851851851852"
"34","15","influencer-bias","500","25","3","0.5036319612590799","0.6077481840193705"
"36","15","influencer-bias","500","25","0","0","0"
"36","15","influencer-bias","500","25","1","0.7311827956989247","0.7311827956989247"
"30","15","influencer-bias","500","25","4","0.2814645308924485","0.35469107551487417"
"34","15","influencer-bias","500","25","4","0.5053763440860215","0.6086021505376344"
"30","15","influencer-bias","500","25","5","0.28635346756152125","0.3624161073825503"
"34","15","influencer-bias","500","25","5","0.5053304904051172","0.6076759061833689"
"30","15","influencer-bias","500","25","6","0.29046563192904656","0.36807095343680707"
"30","15","influencer-bias","500","25","7","0.28982300884955753","0.3694690265486726"
"35","15","influencer-bias","500","25","2","0.616504854368932","0.7742718446601942"
"35","15","influencer-bias","500","25","3","0.6270491803278688","0.7909836065573771"
"36","15","influencer-bias","500","25","2","0.6385869565217391","0.8043478260869565"
"35","15","influencer-bias","500","25","4","0.6278118609406953","0.7914110429447853"
"36","15","influencer-bias","500","25","3","0.6444906444906445","0.817047817047817"
"36","15","influencer-bias","500","25","4","0.643298969072165","0.8144329896907216"
"38","15","influencer-bias","500","25","0","0","0"
"38","15","influencer-bias","500","25","1","0","0"
"39","15","influencer-bias","500","25","0","0","0"
"39","15","influencer-bias","500","25","1","0","0"
"41","15","influencer-bias","500","25","0","0","0"
"43","15","influencer-bias","500","25","0","0","0"
"40","15","influencer-bias","500","25","0","0","0"
"41","15","influencer-bias","500","25","1","0.8157894736842105","0.8157894736842105"
"42","15","influencer-bias","500","25","0","0","0"
"43","15","influencer-bias","500","25","1","0.76","0.76"
"41","15","influencer-bias","500","25","2","0.6284916201117319","0.7681564245810056"
"40","15","influencer-bias","500","25","1","0.6307692307692307","0.6307692307692307"
"42","15","influencer-bias","500","25","1","0.18518518518518517","0.18518518518518517"
"44","15","influencer-bias","500","25","0","0","0"
"41","15","influencer-bias","500","25","3","0.6296296296296297","0.7860082304526749"
"41","15","influencer-bias","500","25","4","0.6300813008130082","0.7886178861788617"
"43","15","influencer-bias","500","25","2","0.6439393939393939","0.7727272727272727"
"37","15","influencer-bias","500","25","0","0","0"
"44","15","influencer-bias","500","25","1","0.1590909090909091","0.1590909090909091"
"43","15","influencer-bias","500","25","3","0.6344969199178645","0.7946611909650924"
"37","15","influencer-bias","500","25","1","0","0"
"43","15","influencer-bias","500","25","4","0.636734693877551","0.7959183673469388"
"42","15","influencer-bias","500","25","2","0.07042253521126761","0.07042253521126761"
"40","15","influencer-bias","500","25","2","0.4887459807073955","0.5787781350482315"
"44","15","influencer-bias","500","25","2","0.07142857142857142","0.07142857142857142"
"45","15","influencer-bias","500","25","0","0","0"
"45","15","influencer-bias","500","25","1","0.8266666666666667","0.8266666666666667"
"45","15","influencer-bias","500","25","2","0.6573033707865169","0.797752808988764"
"45","15","influencer-bias","500","25","3","0.660455486542443","0.8219461697722568"
"45","15","influencer-bias","500","25","4","0.6619144602851323","0.824847250509165"
"40","15","influencer-bias","500","25","3","0.4840085287846482","0.5991471215351812"
"40","15","influencer-bias","500","25","4","0.4855371900826446","0.6033057851239669"
"40","15","influencer-bias","500","25","5","0.4865979381443299","0.6041237113402061"
"47","15","influencer-bias","500","25","0","0","0"
"49","15","influencer-bias","500","25","0","0","0"
"47","15","influencer-bias","500","25","1","0.810126582278481","0.810126582278481"
"49","15","influencer-bias","500","25","1","0.8194444444444444","0.8194444444444444"
"46","15","influencer-bias","500","25","0","0","0"
"46","15","influencer-bias","500","25","1","0.2833333333333333","0.2833333333333333"
"50","15","influencer-bias","500","25","0","0","0"
"47","15","influencer-bias","500","25","2","0.6426666666666667","0.7946666666666666"
"50","15","influencer-bias","500","25","1","0","0"
"46","15","influencer-bias","500","25","2","0.09883720930232558","0.09883720930232558"
"49","15","influencer-bias","500","25","2","0.6467236467236467","0.8091168091168092"
"47","15","influencer-bias","500","25","3","0.6283924843423799","0.7954070981210856"
"47","15","influencer-bias","500","25","4","0.6322314049586777","0.7975206611570248"
"49","15","influencer-bias","500","25","3","0.6434599156118144","0.8143459915611815"
"49","15","influencer-bias","500","25","4","0.639344262295082","0.8094262295081968"
"51","15","influencer-bias","500","25","0","0","0"
"51","15","influencer-bias","500","25","1","0.19642857142857142","0.19642857142857142"
"51","15","influencer-bias","500","25","2","0.09361702127659574","0.09361702127659574"
"48","15","influencer-bias","500","25","0","0","0"
"48","15","influencer-bias","500","25","1","0.6551724137931034","0.6551724137931034"
"52","15","influencer-bias","500","25","0","0","0"
"52","15","influencer-bias","500","25","1","0.6111111111111112","0.6111111111111112"
"52","15","influencer-bias","500","25","2","0.495114006514658","0.5798045602605864"
"48","15","influencer-bias","500","25","2","0.5","0.6183431952662722"
"52","15","influencer-bias","500","25","3","0.49772727272727274","0.6045454545454545"
"52","15","influencer-bias","500","25","4","0.49567099567099565","0.6017316017316018"
"53","15","influencer-bias","500","25","0","0","0"
"53","15","influencer-bias","500","25","1","0.6056338028169014","0.6056338028169014"
"53","15","influencer-bias","500","25","2","0.4597315436241611","0.5604026845637584"
"54","15","influencer-bias","500","25","0","0","0"
"55","15","influencer-bias","500","25","0","0","0"
"56","15","influencer-bias","500","25","0","0","0"
"54","15","influencer-bias","500","25","1","0.37735849056603776","0.37735849056603776"
"53","15","influencer-bias","500","25","3","0.49887133182844245","0.6162528216704289"
"56","15","influencer-bias","500","25","1","0.6027397260273972","0.6027397260273972"
"57","15","influencer-bias","500","25","0","0","0"
"53","15","influencer-bias","500","25","4","0.5042735042735043","0.6239316239316239"
"55","15","influencer-bias","500","25","1","0.5727272727272728","0.5727272727272728"
"57","15","influencer-bias","500","25","1","0.34177215189873417","0.34177215189873417"
"53","15","influencer-bias","500","25","5","0.5021186440677966","0.6228813559322034"
"56","15","influencer-bias","500","25","2","0.49514563106796117","0.5825242718446602"
"57","15","influencer-bias","500","25","2","0.23357664233576642","0.28832116788321166"
"54","15","influencer-bias","500","25","2","0.2631578947368421","0.3157894736842105"
"56","15","influencer-bias","500","25","3","0.5010706638115632","0.6231263383297645"
"57","15","influencer-bias","500","25","3","0.2584856396866841","0.3289817232375979"
"56","15","influencer-bias","500","25","4","0.5071574642126789","0.6319018404907976"
"48","15","influencer-bias","500","25","3","0.5154185022026432","0.6431718061674009"
"58","15","influencer-bias","500","25","0","0","0"
"57","15","influencer-bias","500","25","4","0.27906976744186046","0.3697674418604651"
"55","15","influencer-bias","500","25","2","0.46774193548387094","0.5510752688172043"
"57","15","influencer-bias","500","25","5","0.28475336322869954","0.3721973094170404"
"48","15","influencer-bias","500","25","4","0.5095541401273885","0.6411889596602972"
"58","15","influencer-bias","500","25","1","0.4666666666666667","0.4666666666666667"
"57","15","influencer-bias","500","25","6","0.28159645232815966","0.37250554323725055"
"48","15","influencer-bias","500","25","5","0.507399577167019","0.638477801268499"
"54","15","influencer-bias","500","25","3","0.2727272727272727","0.35064935064935066"
"58","15","influencer-bias","500","25","2","0.2236842105263158","0.27631578947368424"
"55","15","influencer-bias","500","25","3","0.48945147679324896","0.5970464135021097"
"54","15","influencer-bias","500","25","4","0.28191489361702127","0.3617021276595745"
"58","15","influencer-bias","500","25","3","0.28286852589641437","0.3426294820717131"
"55","15","influencer-bias","500","25","4","0.49176954732510286","0.6049382716049383"
"54","15","influencer-bias","500","25","5","0.29207920792079206","0.3787128712871287"
"58","15","influencer-bias","500","25","4","0.2857142857142857","0.3445378151260504"
"59","15","influencer-bias","500","25","0","0","0"
"58","15","influencer-bias","500","25","5","0.2995049504950495","0.3589108910891089"
"59","15","influencer-bias","500","25","1","0.48484848484848486","0.48484848484848486"
"58","15","influencer-bias","500","25","6","0.2981220657276995","0.36384976525821594"
"58","15","influencer-bias","500","25","7","0.3023255813953488","0.3674418604651163"
"59","15","influencer-bias","500","25","2","0.2967741935483871","0.34516129032258064"
"54","15","influencer-bias","500","25","6","0.28776978417266186","0.3764988009592326"
"54","15","influencer-bias","500","25","7","0.28878281622911695","0.37708830548926014"
"54","15","influencer-bias","500","25","8","0.28809523809523807","0.3761904761904762"
"59","15","influencer-bias","500","25","3","0.28780487804878047","0.3463414634146341"
"59","15","influencer-bias","500","25","4","0.3063063063063063","0.36711711711711714"
"59","15","influencer-bias","500","25","5","0.3075221238938053","0.3694690265486726"
"59","15","influencer-bias","500","25","6","0.3090507726269316","0.3708609271523179"
"61","15","influencer-bias","500","25","0","0","0"
"62","15","influencer-bias","500","25","0","0","0"
"61","15","influencer-bias","500","25","1","0.5060240963855421","0.5060240963855421"
"62","15","influencer-bias","500","25","1","0.21153846153846154","0.21153846153846154"
"61","15","influencer-bias","500","25","2","0.4523809523809524","0.5578231292517006"
"60","15","influencer-bias","500","25","0","0","0"
"62","15","influencer-bias","500","25","2","0.088","0.088"
"61","15","influencer-bias","500","25","3","0.48491879350348027","0.605568445475638"
"61","15","influencer-bias","500","25","4","0.48822269807280516","0.6124197002141327"
"65","15","influencer-bias","500","25","0","0","0"
"61","15","influencer-bias","500","25","5","0.48625792811839325","0.6088794926004228"
"60","15","influencer-bias","500","25","1","0.29310344827586204","0.29310344827586204"
"65","15","influencer-bias","500","25","1","0.5476190476190477","0.5476190476190477"
"60","15","influencer-bias","500","25","2","0.2122905027932961","0.24581005586592178"
"64","15","influencer-bias","500","25","0","0","0"
"60","15","influencer-bias","500","25","3","0.24723247232472326","0.2952029520295203"
"65","15","influencer-bias","500","25","2","0.42105263157894735","0.5052631578947369"
"66","15","influencer-bias","500","25","0","0","0"
"64","15","influencer-bias","500","25","1","0.22666666666666666","0.22666666666666666"
"60","15","influencer-bias","500","25","4","0.2492836676217765","0.30945558739255014"
"67","15","influencer-bias","500","25","0","0","0"
"66","15","influencer-bias","500","25","1","0.6621621621621622","0.6621621621621622"
"64","15","influencer-bias","500","25","2","0.08994708994708994","0.08994708994708994"
"60","15","influencer-bias","500","25","5","0.2710997442455243","0.329923273657289"
"63","15","influencer-bias","500","25","0","0","0"
"67","15","influencer-bias","500","25","1","0.19117647058823528","0.19117647058823528"
"60","15","influencer-bias","500","25","6","0.2733990147783251","0.33251231527093594"
"65","15","influencer-bias","500","25","3","0.48214285714285715","0.5841836734693877"
"67","15","influencer-bias","500","25","2","0.07262569832402235","0.07262569832402235"
"63","15","influencer-bias","500","25","1","0","0"
"60","15","influencer-bias","500","25","7","0.2762836185819071","0.3374083129584352"
"66","15","influencer-bias","500","25","2","0.4550898203592814","0.5479041916167665"
"65","15","influencer-bias","500","25","4","0.508695652173913","0.6108695652173913"
"60","15","influencer-bias","500","25","8","0.2780487804878049","0.33902439024390246"
"60","15","influencer-bias","500","25","9","0.2798053527980535","0.340632603406326"
"65","15","influencer-bias","500","25","5","0.510548523206751","0.609704641350211"
"66","15","influencer-bias","500","25","3","0.43829787234042555","0.5531914893617021"
"65","15","influencer-bias","500","25","6","0.5146443514644351","0.6129707112970711"
"66","15","influencer-bias","500","25","4","0.4359504132231405","0.5578512396694215"
"69","15","influencer-bias","500","25","0","0","0"
"69","15","influencer-bias","500","25","1","0.40476190476190477","0.40476190476190477"
"69","15","influencer-bias","500","25","2","0.2777777777777778","0.34444444444444444"
"68","15","influencer-bias","500","25","0","0","0"
"69","15","influencer-bias","500","25","3","0.3041095890410959","0.38904109589041097"
"68","15","influencer-bias","500","25","1","0.5483870967741935","0.5483870967741935"
"69","15","influencer-bias","500","25","4","0.3025","0.385"
"69","15","influencer-bias","500","25","5","0.29927007299270075","0.3819951338199513"
"69","15","influencer-bias","500","25","6","0.30097087378640774","0.38349514563106796"
"69","15","influencer-bias","500","25","7","0.30120481927710846","0.38313253012048193"
"69","15","influencer-bias","500","25","8","0.3004807692307692","0.38221153846153844"
"70","15","influencer-bias","500","25","0","0","0"
"70","15","influencer-bias","500","25","1","0.275","0.275"
"68","15","influencer-bias","500","25","2","0.453125","0.534375"
"71","15","influencer-bias","500","25","0","0","0"
"70","15","influencer-bias","500","25","2","0.10232558139534884","0.10232558139534884"
"71","15","influencer-bias","500","25","1","0.35294117647058826","0.35294117647058826"
