"BehaviorSpace results (NetLogo 6.2.0)"
"temp.nlogo"
"random-bias"
"12/14/2021 18:16:39:682 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"max-influencers","15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",
"random-bias-threshold","0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",,"0.2",
"bias-type","random-bias",,"random-bias",,"random-bias",,"random-bias",,"random-bias",,"random-bias",,"random-bias",,"random-bias",,"random-bias",,"random-bias",,"random-bias",,"random-bias",,"random-bias",,"random-bias",,"random-bias",,"random-bias",,"random-bias",,"random-bias",,"random-bias",,"random-bias",
"total-users","500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",,"500",
"max-connections","25",,"25",,"25",,"25",,"25",,"25",,"25",,"25",,"25",,"25",,"25",,"25",,"25",,"25",,"25",,"25",,"25",,"25",,"25",,"25",
"[reporter]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]"
"[final]","0.49256900212314225","0.6157112526539278","0.4732510288065844","0.6152263374485597","0.45114345114345117","0.5696465696465697","0.08520179372197309","0.10762331838565023","0.6244897959183674","0.8061224489795918","0","0","0","0","0.44238683127572015","0.5679012345679012","0.425531914893617","0.551063829787234","0.30963302752293576","0.39908256880733944","0.3347826086956522","0.40217391304347827","0.43568464730290457","0.5373443983402489","0","0","0.2733812949640288","0.3645083932853717","0.2867132867132867","0.372960372960373","0.6577319587628866","0.8061855670103093","0.061224489795918366","0.07142857142857142","0.6128364389233955","0.7908902691511387","0.072","0.08","0.28354978354978355","0.35064935064935066"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","0.5185185185185185","0.6172839506172839","0.4742268041237113","0.6164948453608248","0.45208333333333334","0.5696465696465697","0.21348314606741572","0.2696629213483146","0.6254545454545455","0.8145454545454546","0","0","0","0","0.44238683127572015","0.5681818181818182","0.425531914893617","0.5909090909090909","0.30963302752293576","0.39908256880733944","0.3347826086956522","0.41025641025641024","0.4727272727272727","0.5818181818181818","0","0","0.2911392405063291","0.3670886075949367","0.2867132867132867","0.3924050632911392","0.7252747252747253","0.8571428571428571","0.10714285714285714","0.125","0.6333333333333333","0.7908902691511387","0.16071428571428573","0.17857142857142858","0.2894736842105263","0.3684210526315789"
"[mean]","0.4065066548501588","0.5018288808079235","0.38655819469899433","0.5153085550966011","0.3659509916053826","0.4597266148298752","0.09956164659646294","0.1257620799113216","0.4720434817958334","0.6400661946666918","0","0","0","0","0.357969780436747","0.46734355919696724","0.3430846040407943","0.4602801261967894","0.24401300527937478","0.31921386010979863","0.26895492716859165","0.32666949038512666","0.3582038045648453","0.4401745921284929","0","0","0.23125533231745662","0.3052203627367122","0.24582551810428033","0.32266410827741066","0.5377272904647447","0.6526463989745398","0.05612244897959184","0.06547619047619048","0.49398199406029","0.626220100973995","0.07757142857142857","0.08619047619047619","0.23076857173916285","0.28380648506792133"
