"BehaviorSpace results (NetLogo 6.2.0)"
"temp.nlogo"
"random-bias"
"12/14/2021 18:37:18:785 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","max-influencers","random-bias-threshold","bias-type","total-users","max-connections","[step]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]"
"2","15","0.2","random-bias","500","25","0","0","0"
"2","15","0.2","random-bias","500","25","1","0.32075471698113206","0.3584905660377358"
"2","15","0.2","random-bias","500","25","2","0.2717391304347826","0.32608695652173914"
"7","15","0.2","random-bias","500","25","0","0","0"
"2","15","0.2","random-bias","500","25","3","0.2996632996632997","0.3501683501683502"
"4","15","0.2","random-bias","500","25","0","0","0"
"2","15","0.2","random-bias","500","25","4","0.2907608695652174","0.36141304347826086"
"2","15","0.2","random-bias","500","25","5","0.29770992366412213","0.3791348600508906"
"2","15","0.2","random-bias","500","25","6","0.2977667493796526","0.3771712158808933"
"2","15","0.2","random-bias","500","25","7","0.2972972972972973","0.3759213759213759"
"2","15","0.2","random-bias","500","25","8","0.2965686274509804","0.375"
"8","15","0.2","random-bias","500","25","0","0","0"
"3","15","0.2","random-bias","500","25","0","0","0"
"4","15","0.2","random-bias","500","25","1","0.16470588235294117","0.24705882352941178"
"7","15","0.2","random-bias","500","25","1","0","0"
"5","15","0.2","random-bias","500","25","0","0","0"
"3","15","0.2","random-bias","500","25","1","0.25","0.3793103448275862"
"3","15","0.2","random-bias","500","25","2","0.25","0.34507042253521125"
"8","15","0.2","random-bias","500","25","1","0.5742574257425742","0.7623762376237624"
"3","15","0.2","random-bias","500","25","3","0.28","0.36533333333333334"
"3","15","0.2","random-bias","500","25","4","0.290167865707434","0.3764988009592326"
"3","15","0.2","random-bias","500","25","5","0.2964705882352941","0.3811764705882353"
"6","15","0.2","random-bias","500","25","0","0","0"
"3","15","0.2","random-bias","500","25","6","0.29698375870069604","0.3874709976798144"
"4","15","0.2","random-bias","500","25","2","0.0782122905027933","0.11731843575418995"
"5","15","0.2","random-bias","500","25","1","0.1836734693877551","0.20408163265306123"
"5","15","0.2","random-bias","500","25","2","0.07377049180327869","0.08196721311475409"
"6","15","0.2","random-bias","500","25","1","0.5102040816326531","0.5918367346938775"
"1","15","0.2","random-bias","500","25","0","0","0"
